drug_name,pubchem_id,smile,micro_name,micro_tid,dis_Sname,dis_MESH
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Citrobacter,544,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Lactobacillus,1578,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium,1678,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Corynebacterium,1716,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Eubacterium,1730,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Peptostreptococcus,1257,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Streptococcus,1301,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Pseudomonas,286,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Fusobacterium,848,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Clostridium,1485,"Pulmonary Disease, Chronic Obstructive",MESH:D029424
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Enterococcus,1350,IgA Vasculitis,MESH:D011695
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Enterobacteriaceae,543,Cholestasis,MESH:D002779
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Streptococcus salivarius,1304,Cholestasis,MESH:D002779
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Cholestasis,MESH:D002779
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Coprococcus comes,410072,Cholestasis,MESH:D002779
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium longum,216816,Dyspepsia,MESH:D004415
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bacteroides,816,Dyspepsia,MESH:D004415
Ellagic acid,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,Gordonibacter,644652,Alzheimer Disease,MESH:D000544
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Erysipelatoclostridium ramosum,1547,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Porphyromonadaceae,171551,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Barnesiella,397864,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Lactobacillus,1578,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Escherichia,561,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Clostridium saccharolyticum,84030,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides caccae,47678,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Dorea formicigenerans,39486,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Ruminococcus bromii,40518,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Ruminococcus obeum,40520,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Roseburia intestinalis,166486,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Clostridium bolteae,208479,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium,1678,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Alistipes,239759,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Eggerthella lenta,84112,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Collinsella aerofaciens,74426,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium sp.,41200,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Roseburia hominis,301301,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Veillonella parvula,29466,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Pseudomonas,286,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides,816,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides uniformis,820,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Phocaeicola vulgatus,821,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Parabacteroides distasonis,823,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Prevotella copri,165179,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Akkermansia,239934,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Akkermansia muciniphila,239935,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Parabacteroides merdae,46503,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides ovatus,28116,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Coprococcus comes,410072,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Clostridioides difficile,1496,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Clostridium perfringens,1502,Crohn Disease,MESH:D003424
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium sp.,41200,Stevens-Johnson Syndrome,MESH:D013262
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Pseudomonas,286,Stevens-Johnson Syndrome,MESH:D013262
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Akkermansia,239934,Stevens-Johnson Syndrome,MESH:D013262
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Parabacteroides merdae,46503,Infections,MESH:D007239
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Barnesiella,397864,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Lactobacillus,1578,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides caccae,47678,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Dorea formicigenerans,39486,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Ruminococcus bromii,40518,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Alistipes,239759,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium sp.,41200,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides thetaiotaomicron,818,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Phocaeicola vulgatus,821,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Parabacteroides distasonis,823,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Akkermansia,239934,Inflammatory Bowel Diseases,MESH:D015212
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Pseudomonas,286,Bronchiectasis,MESH:D001987
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Erysipelatoclostridium ramosum,1547,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Porphyromonadaceae,171551,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Barnesiella,397864,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Lactobacillus,1578,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Escherichia,561,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides caccae,47678,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Dorea formicigenerans,39486,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Ruminococcus bromii,40518,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Clostridium bolteae,208479,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium,1678,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Alistipes,239759,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Eggerthella lenta,84112,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Collinsella aerofaciens,74426,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bifidobacterium sp.,41200,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Roseburia hominis,301301,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Veillonella parvula,29466,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Pseudomonas,286,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides,816,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides thetaiotaomicron,818,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Bacteroides uniformis,820,"Colitis, Ulcerative",MESH:D003093
Metronidazole,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Phocaeicola vulgatus,821,"Colitis, Ulcerative",MESH:D003093
